! AWR Design Environment (17603) Wed Feb 28 12:28:39 2024
! Document = 'Ideal Resonator'
! nPorts: 2, nXvals: 8751

# GHz S DB R 50
!Freq DBS11 AngS11 DBS21 AngS21 DBS12 AngS12 DBS22 AngS22 
1.0456 -0.15785339 -26.064071 -14.949909 64.466247 -14.949909 64.466247 -0.15785339 -26.064071 
1.0464 -0.15801771 -26.086278 -14.946749 64.446021 -14.946749 64.446021 -0.15801771 -26.086278 
1.0472 -0.15818196 -26.108492 -14.9436 64.425795 -14.9436 64.425795 -0.15818196 -26.108492 
1.048 -0.15834612 -26.130715 -14.940463 64.405567 -14.940463 64.405567 -0.15834612 -26.130715 
1.0488 -0.15851021 -26.152946 -14.937337 64.385338 -14.937337 64.385338 -0.15851021 -26.152946 
1.0496 -0.15867422 -26.175185 -14.934222 64.365107 -14.934222 64.365107 -0.15867422 -26.175185 
1.0504 -0.15883816 -26.197432 -14.931118 64.344876 -14.931118 64.344876 -0.15883816 -26.197432 
1.0512 -0.15900201 -26.219688 -14.928026 64.324643 -14.928026 64.324643 -0.15900201 -26.219688 
1.052 -0.15916579 -26.241952 -14.924944 64.304409 -14.924944 64.304409 -0.15916579 -26.241952 
1.0528 -0.15932948 -26.264224 -14.921874 64.284174 -14.921874 64.284174 -0.15932948 -26.264224 
1.0536 -0.1594931 -26.286505 -14.918816 64.263938 -14.918816 64.263938 -0.1594931 -26.286505 
1.0544 -0.15965664 -26.308794 -14.915768 64.243701 -14.915768 64.243701 -0.15965664 -26.308794 
1.0552 -0.1598201 -26.331091 -14.912732 64.223462 -14.912732 64.223462 -0.1598201 -26.331091 
1.056 -0.15998348 -26.353396 -14.909707 64.203223 -14.909707 64.203223 -0.15998348 -26.353396 
1.0568 -0.16014678 -26.375711 -14.906693 64.182982 -14.906693 64.182982 -0.16014678 -26.375711 
1.0576 -0.16031 -26.398033 -14.903691 64.16274 -14.903691 64.16274 -0.16031 -26.398033 
1.0584 -0.16047313 -26.420364 -14.900699 64.142497 -14.900699 64.142497 -0.16047313 -26.420364 
1.0592 -0.16063619 -26.442703 -14.89772 64.122253 -14.89772 64.122253 -0.16063619 -26.442703 
1.06 -0.16079917 -26.465051 -14.894751 64.102007 -14.894751 64.102007 -0.16079917 -26.465051 
1.0608 -0.16096206 -26.487408 -14.891794 64.081761 -14.891794 64.081761 -0.16096206 -26.487408 
1.0616 -0.16112488 -26.509773 -14.888848 64.061513 -14.888848 64.061513 -0.16112488 -26.509773 
1.0624 -0.16128761 -26.532147 -14.885913 64.041265 -14.885913 64.041265 -0.16128761 -26.532147 
1.0632 -0.16145026 -26.554529 -14.88299 64.021015 -14.88299 64.021015 -0.16145026 -26.554529 
1.064 -0.16161283 -26.576919 -14.880078 64.000765 -14.880078 64.000765 -0.16161283 -26.576919 
1.0648 -0.16177532 -26.599319 -14.877177 63.980513 -14.877177 63.980513 -0.16177532 -26.599319 
1.0656 -0.16193772 -26.621727 -14.874288 63.96026 -14.874288 63.96026 -0.16193772 -26.621727 
1.0664 -0.16210004 -26.644144 -14.87141 63.940006 -14.87141 63.940006 -0.16210004 -26.644144 
1.0672 -0.16226228 -26.666569 -14.868544 63.919751 -14.868544 63.919751 -0.16226228 -26.666569 
1.068 -0.16242443 -26.689003 -14.865689 63.899495 -14.865689 63.899495 -0.16242443 -26.689003 
1.0688 -0.16258651 -26.711446 -14.862845 63.879238 -14.862845 63.879238 -0.16258651 -26.711446 
1.0696 -0.16274849 -26.733898 -14.860013 63.85898 -14.860013 63.85898 -0.16274849 -26.733898 
1.0704 -0.1629104 -26.756358 -14.857192 63.838721 -14.857192 63.838721 -0.1629104 -26.756358 
1.0712 -0.16307222 -26.778828 -14.854383 63.818461 -14.854383 63.818461 -0.16307222 -26.778828 
1.072 -0.16323395 -26.801306 -14.851585 63.798201 -14.851585 63.798201 -0.16323395 -26.801306 
1.0728 -0.16339561 -26.823793 -14.848798 63.777939 -14.848798 63.777939 -0.16339561 -26.823793 
1.0736 -0.16355717 -26.846288 -14.846023 63.757676 -14.846023 63.757676 -0.16355717 -26.846288 
1.0744 -0.16371866 -26.868793 -14.843259 63.737412 -14.843259 63.737412 -0.16371866 -26.868793 
1.0752 -0.16388005 -26.891307 -14.840507 63.717147 -14.840507 63.717147 -0.16388005 -26.891307 
1.076 -0.16404137 -26.913829 -14.837766 63.696881 -14.837766 63.696881 -0.16404137 -26.913829 
1.0768 -0.16420259 -26.936361 -14.835037 63.676615 -14.835037 63.676615 -0.16420259 -26.936361 
1.0776 -0.16436374 -26.958902 -14.832319 63.656347 -14.832319 63.656347 -0.16436374 -26.958902 
1.0784 -0.16452479 -26.981451 -14.829613 63.636079 -14.829613 63.636079 -0.16452479 -26.981451 
1.0792 -0.16468576 -27.00401 -14.826918 63.615809 -14.826918 63.615809 -0.16468576 -27.00401 
1.08 -0.16484665 -27.026578 -14.824235 63.595539 -14.824235 63.595539 -0.16484665 -27.026578 
1.0808 -0.16500744 -27.049154 -14.821564 63.575268 -14.821564 63.575268 -0.16500744 -27.049154 
1.0816 -0.16516816 -27.07174 -14.818903 63.554996 -14.818903 63.554996 -0.16516816 -27.07174 
1.0824 -0.16532878 -27.094335 -14.816255 63.534723 -14.816255 63.534723 -0.16532878 -27.094335 
1.0832 -0.16548932 -27.116939 -14.813618 63.514449 -14.813618 63.514449 -0.16548932 -27.116939 
1.084 -0.16564977 -27.139553 -14.810992 63.494175 -14.810992 63.494175 -0.16564977 -27.139553 
1.0848 -0.16581014 -27.162175 -14.808379 63.473899 -14.808379 63.473899 -0.16581014 -27.162175 
1.0856 -0.16597041 -27.184807 -14.805776 63.453623 -14.805776 63.453623 -0.16597041 -27.184807 
1.0864 -0.1661306 -27.207448 -14.803186 63.433346 -14.803186 63.433346 -0.1661306 -27.207448 
1.0872 -0.1662907 -27.230099 -14.800607 63.413068 -14.800607 63.413068 -0.1662907 -27.230099 
1.088 -0.16645072 -27.252758 -14.798039 63.39279 -14.798039 63.39279 -0.16645072 -27.252758 
1.0888 -0.16661065 -27.275427 -14.795483 63.37251 -14.795483 63.37251 -0.16661065 -27.275427 
