! AWR Design Environment (17603) Fri Jul 12 14:53:36 2024
! Document = 'RLC Resonator TLIN'
! nPorts: 2, nXvals: 10001

# GHz S DB R 50
!Freq DBS11 AngS11 DBS21 AngS21 DBS12 AngS12 DBS22 AngS22 
5.7608336 -22.026144 161.75781 -0.027382976 -108.23725 -0.027382976 -108.23725 -22.026144 161.75781 
5.7608342 -22.024429 161.7569 -0.02739383 -108.23816 -0.02739383 -108.23816 -22.024429 161.7569 
5.7608348 -22.022713 161.75599 -0.02740469 -108.23907 -0.02740469 -108.23907 -22.022713 161.75599 
5.7608354 -22.020997 161.75507 -0.027415557 -108.23998 -0.027415557 -108.23998 -22.020997 161.75507 
5.760836 -22.01928 161.75416 -0.027426431 -108.24089 -0.027426431 -108.24089 -22.01928 161.75416 
5.7608366 -22.017563 161.75325 -0.027437311 -108.2418 -0.027437311 -108.2418 -22.017563 161.75325 
5.7608372 -22.015846 161.75234 -0.027448198 -108.24271 -0.027448198 -108.24271 -22.015846 161.75234 
5.7608378 -22.014129 161.75142 -0.027459092 -108.24363 -0.027459092 -108.24363 -22.014129 161.75142 
5.7608384 -22.012411 161.75051 -0.027469992 -108.24454 -0.027469992 -108.24454 -22.012411 161.75051 
5.760839 -22.010692 161.7496 -0.0274809 -108.24545 -0.0274809 -108.24545 -22.010692 161.7496 
5.7608396 -22.008973 161.74868 -0.027491814 -108.24636 -0.027491814 -108.24636 -22.008973 161.74868 
5.7608402 -22.007254 161.74777 -0.027502734 -108.24728 -0.027502734 -108.24728 -22.007254 161.74777 
5.7608408 -22.005535 161.74685 -0.027513662 -108.24819 -0.027513662 -108.24819 -22.005535 161.74685 
5.7608414 -22.003815 161.74594 -0.027524596 -108.24911 -0.027524596 -108.24911 -22.003815 161.74594 
5.760842 -22.002094 161.74502 -0.027535537 -108.25002 -0.027535537 -108.25002 -22.002094 161.74502 
5.7608426 -22.000374 161.7441 -0.027546485 -108.25094 -0.027546485 -108.25094 -22.000374 161.7441 
5.7608432 -21.998653 161.74319 -0.02755744 -108.25185 -0.02755744 -108.25185 -21.998653 161.74319 
5.7608438 -21.996931 161.74227 -0.027568401 -108.25277 -0.027568401 -108.25277 -21.996931 161.74227 
5.7608444 -21.995209 161.74135 -0.027579369 -108.25368 -0.027579369 -108.25368 -21.995209 161.74135 
5.760845 -21.993487 161.74044 -0.027590344 -108.2546 -0.027590344 -108.2546 -21.993487 161.74044 
5.7608456 -21.991765 161.73952 -0.027601326 -108.25552 -0.027601326 -108.25552 -21.991765 161.73952 
5.7608462 -21.990042 161.7386 -0.027612315 -108.25643 -0.027612315 -108.25643 -21.990042 161.7386 
5.7608468 -21.988318 161.73768 -0.02762331 -108.25735 -0.02762331 -108.25735 -21.988318 161.73768 
5.7608474 -21.986595 161.73676 -0.027634312 -108.25827 -0.027634312 -108.25827 -21.986595 161.73676 
5.760848 -21.984871 161.73584 -0.027645321 -108.25919 -0.027645321 -108.25919 -21.984871 161.73584 
5.7608486 -21.983146 161.73492 -0.027656337 -108.26011 -0.027656337 -108.26011 -21.983146 161.73492 
5.7608492 -21.981421 161.734 -0.02766736 -108.26103 -0.02766736 -108.26103 -21.981421 161.734 
