5.859919155000000000e+09,-4.201990808891053319e+01,-1.625795320113135176e+02
5.860003272000000000e+09,-4.177558429581763733e+01,-1.710252811576824854e+02
5.860009600000000000e+09,-4.222750234842983730e+01,-1.793720439591975833e+02
5.860012339000000000e+09,-4.365899219669984888e+01,1.741398509396528311e+02
5.860014182000000000e+09,-4.530689833455535620e+01,1.749979862509467807e+02
5.860015818000000000e+09,-4.691089036595637651e+01,-1.733428903143616253e+02
5.860017661000000000e+09,-4.644003655334220326e+01,-1.584505775753692944e+02
5.860020400000000000e+09,-4.469608544213241430e+01,-1.527296457418681825e+02
5.860026728000000000e+09,-4.297622916140956306e+01,-1.536484130914604123e+02
5.860110845000000000e+09,-4.189671829996932928e+01,-1.601451477732081798e+02
